search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""javier milei""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,n0LrHXvQw0E,https://www.youtube.com/watch?v=n0LrHXvQw0E,"""Mi hermana es la pureza moral"", Javier Milei #LaCruelVerdad PROGRAMA COMPLETO 03/03/2023",,6217.0,25949
"""javier milei""",YoutubeSearchURL,UC6NVDkuzY2exMOVFw4i9oHw,América TV,https://www.youtube.com/@americaenvivo,96ce_KlpG0M,https://www.youtube.com/watch?v=96ce_KlpG0M,Mano a mano con JAVIER MILEI - #AnimalesSueltos | Programa completo (21/07/22),,3701.0,323960
"""javier milei""",YoutubeSearchURL,UC6NVDkuzY2exMOVFw4i9oHw,América TV,https://www.youtube.com/@americaenvivo,LmUWIXsaMHE,https://www.youtube.com/watch?v=LmUWIXsaMHE,Javier Milei - #AnimalesSueltos | Programa completo (11/5/2022),,3705.0,40281
"""javier milei""",YoutubeSearchURL,UC6NVDkuzY2exMOVFw4i9oHw,América TV,https://www.youtube.com/@americaenvivo,V7v2qeXGt6Q,https://www.youtube.com/watch?v=V7v2qeXGt6Q,Mano a mano con JAVIER MILEI - #AnimalesSueltos | Programa completo (24/10/22),,3846.0,56326
"""javier milei""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,PTZ1dgkZaU4,https://www.youtube.com/watch?v=PTZ1dgkZaU4,JAVIER MILEI habló DE TODO en ARGENZUELA,,2188.0,82743
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,7WyP7s-9V2o,https://www.youtube.com/watch?v=7WyP7s-9V2o,MILEI CONTRA TODOS EN EL DEBATE 13/10/2021,,5494.0,370236
"""javier milei""",YoutubeSearchURL,UCeBIElbHZbVgbo0LOyfP8NA,FASTFORWARD TV,https://www.youtube.com/@FASTFORWARDTV.,17vEVbCrstk,https://www.youtube.com/watch?v=17vEVbCrstk,JAVIER MILEI Cerró el Congreso Economico Argentino EXPO EFI 2023 en La Rural,,3401.0,323
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,53rxg94lSRM,https://www.youtube.com/watch?v=53rxg94lSRM,'Libertarianismo vs Socialismo' Conferencia de Javier Milei en Chile,,5585.0,795784
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,JMbWuV6enTk,https://www.youtube.com/watch?v=JMbWuV6enTk,"La mejor conferencia de Javier Milei:""Crecimiento, Monopolios y los Valores del Capitalismo""19/10/17",,3821.0,206640
"""javier milei""",YoutubeSearchURL,UCT7KFGv6s2a-rh2Jq8ZdM1g,Crónica TV,https://www.youtube.com/@cronicatv,s8f5L3vszCY,https://www.youtube.com/watch?v=s8f5L3vszCY,¿Asi querría ver las calles Milei?,,2519.0,5201
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,KRgCkgXAq-w,https://www.youtube.com/watch?v=KRgCkgXAq-w,Javier Milei en Paraguay y un conductor zurdo- 07/07/19,,2433.0,659229
"""javier milei""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,0bEVuaOit9Y,https://www.youtube.com/watch?v=0bEVuaOit9Y,Canosa mano a mano con Javier Milei - Viviana con Vos (15/06/2021),,2176.0,117976
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,VU8cjMYycQE,https://www.youtube.com/watch?v=VU8cjMYycQE,"""Somos un país de imbéciles"" Imperdible Javier Milei con Viviana Canosa- 01/03/21",,2492.0,413107
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,J1PrQXPxP-M,https://www.youtube.com/watch?v=J1PrQXPxP-M,Javier Milei educa a los Intrusos en el Espectáculo- 05/09/18,,1670.0,146806
